experiment,accuracy,f1,auc,high_sensitivity,mod_sensitivity,decision
Original,0.9071,0.9052,0.9825,0.936,,baseline
A2-Mask,0.7704918032786885,0.7895770035313728,0.9132165673507656,0.8325123152709359,0.6923076923076923,FAIL
B2-Occ,0.8579234972677595,0.8664304038301092,0.9542985816483442,0.8817733990147784,0.5897435897435898,TRADE-OFF
C2-Label,0.6420765027322405,0.6668821108400004,0.9232695310971719,0.7666666666666667,0.8974358974358975,FAIL
All-3,0.7213,0.7494,0.8499,0.8,0.4359,FAIL
