experiment,accuracy,f1,auc,high_sensitivity,mod_sensitivity
Original,0.9071,0.9052,0.9825,0.936,
A-Mask,0.7295081967213115,0.7594187242262945,0.8384378309847701,0.7832512315270936,0.48717948717948717
B-Occ,0.7459016393442623,0.7634999269804111,0.8448752566776786,0.8423645320197044,0.3076923076923077
C-Label,0.7486338797814208,0.76851438903727,0.8564595295371612,0.8380952380952381,0.5128205128205128
All-3,0.7213,0.7494,0.8499,0.8,0.4359
