candidate_id,is_best_estimator,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params_json
26,False,8,0.9969303423848878,0.0061393152302243,0.0308104515075683,0.0046217507878143,0.9,1.0,0.0,100,3,4,0.1,0.3,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
27,False,8,0.9969303423848878,0.0061393152302243,0.0658946514129638,0.0055079483496715,1.0,1.0,1.0,200,5,5,0.05,0.1,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
28,False,8,0.9969303423848878,0.0061393152302243,0.1133548259735107,0.0074758686762485,0.7,1.0,1.0,500,1,7,0.2,0.2,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.2, ""learning_rate"": 0.2, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
29,False,8,0.9969303423848878,0.0061393152302243,0.0237135410308837,0.0023911095573458,1.0,2.0,0.1,100,5,3,0.2,0.1,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
30,False,8,0.9969303423848878,0.0061393152302243,0.0629251480102539,0.0105967605611214,0.9,1.5,1.0,300,5,4,0.1,0.3,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 1.5, ""subsample"": 0.9}"
31,False,8,0.9969303423848878,0.0061393152302243,0.061051607131958,0.0122517221113672,0.9,1.0,0.5,200,1,5,0.1,0.2,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
32,False,8,0.9969303423848878,0.0061393152302243,0.093692922592163,0.0049045781028223,0.8,1.0,0.0,500,3,4,0.1,0.3,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
33,False,8,0.9969303423848878,0.0061393152302243,0.1560577869415283,0.0172927100425035,0.9,2.0,0.1,500,1,3,0.2,0.0,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.2, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
34,False,8,0.9969303423848878,0.0061393152302243,0.1275071620941162,0.0131544546553295,1.0,2.0,0.5,500,5,7,0.1,0.0,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
35,False,8,0.9969303423848878,0.0061393152302243,0.1070967197418212,0.0065383203061269,1.0,1.5,0.5,300,1,7,0.05,0.0,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 1.5, ""subsample"": 1.0}"
36,False,8,0.9969303423848878,0.0061393152302243,0.096308422088623,0.0089271841991291,0.9,1.5,0.1,300,1,5,0.05,0.2,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.5, ""subsample"": 0.9}"
37,False,37,0.9965399877749588,0.0059920103788386,0.0860032558441162,0.0047926933925991,0.7,2.0,0.0,200,5,4,0.01,0.2,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
38,False,37,0.9965399877749588,0.0059920103788386,0.0536267280578613,0.0060965538655195,0.9,1.0,1.0,100,5,4,0.1,0.2,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
39,False,37,0.9965399877749588,0.0059920103788386,0.1133644104003906,0.0103637123845249,1.0,2.0,0.0,200,5,7,0.01,0.0,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
40,False,40,0.9965375526853172,0.0059913993944294,0.0673580169677734,0.0112811757841616,1.0,1.5,0.5,300,3,7,0.2,0.0,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0, ""learning_rate"": 0.2, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 1.5, ""subsample"": 1.0}"
41,False,40,0.9965375526853172,0.0059913993944294,0.0308253765106201,0.0033804107221776,0.8,2.0,0.1,100,3,5,0.2,0.1,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.8}"
42,False,40,0.9965375526853172,0.0059913993944294,0.0906413555145263,0.0091990379435423,0.7,2.0,0.1,500,5,7,0.2,0.1,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
43,False,40,0.9965375526853172,0.0059913993944294,0.0682459831237793,0.009622903044838,0.7,2.0,0.1,300,3,5,0.1,0.1,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
44,False,44,0.996147198075388,0.0058140527214409,0.0318984031677246,0.003862045175177,0.8,1.5,1.0,100,5,5,0.1,0.2,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 1.5, ""subsample"": 0.8}"
45,False,44,0.996147198075388,0.0058140527214409,0.0328087329864501,0.0022981581534292,0.8,1.5,0.5,100,5,5,0.1,0.1,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.5, ""reg_lambda"": 1.5, ""subsample"": 0.8}"
46,False,44,0.996147198075388,0.0058140527214409,0.0699520587921142,0.0193587935344321,0.8,2.0,0.0,200,3,6,0.2,0.3,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.3, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 0.8}"
47,False,44,0.996147198075388,0.0058140527214409,0.0663518905639648,0.0183946266776069,0.7,1.0,0.1,200,3,4,0.1,0.1,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
48,False,44,0.996147198075388,0.0058140527214409,0.0597248077392578,0.0057282207331799,0.7,1.0,0.0,200,5,4,0.05,0.3,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
49,False,49,0.9950031801338686,0.0034014949869226,0.0507754325866699,0.0052794820213398,1.0,2.0,0.1,100,5,6,0.01,0.1,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
50,False,50,0.9843481267592248,0.0087094941664004,0.0475739479064941,0.0038269437003806,0.8,1.0,0.0,100,3,4,0.01,0.0,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
